species,average_precision_autogluon,average_precision_linear_probe,auroc_autogluon,auroc_linear_probe,delta_ap
Geopelia striata,0.943955181519308,0.8766258050982203,0.9996665613702572,0.99939630058615,0.06732937642108772
Glaucidium cuculoides,0.16148827106063154,0.09578110941851681,0.9828347503586299,0.9915398341555579,0.06570716164211474
Troglodytes troglodytes,0.48487838742899597,0.41952661893412013,0.9592275937998924,0.958807149075432,0.06535176849487584
Ficedula hypoleuca,0.5832777456517175,0.5193193625474014,0.9777215431627196,0.9972975553857907,0.06395838310431612
Phylloscopus sibilatrix,0.4739083268837331,0.41004298435573927,0.9741616326396267,0.9735974581806326,0.06386534252799381
Psarocolius decumanus,0.6857707509881423,0.6233042819249716,0.999180564296203,0.9990822320117475,0.06246646906317077
Amazona amazonica,0.20819590599002366,0.14597948131424882,0.9967091462135516,0.99668292427103,0.062216424675774845
Regulus ignicapilla,0.5111989554154384,0.45213964755884506,0.961048266927619,0.9690860364517888,0.0590593078565933
Sitta europaea,0.09267720622655884,0.03432692002609482,0.8708846688281612,0.9132993669908909,0.05835028620046402
Anthracoceros albirostris,0.1,0.041666666666666664,0.9990567026517136,0.997589351221046,0.05833333333333334
Garrulax leucolophus,0.2202216940493779,0.16256906849268193,0.9849407073145136,0.9908134681982935,0.05765262555669595
Galbula ruficauda,0.2,0.14285714285714285,0.9996331621423331,0.9993711351011424,0.05714285714285716
Picus puniceus,0.34193315919819217,0.2898512425159698,0.9384728649558267,0.9644231483085451,0.052081916682222396
Vireo chivi,0.517141355581126,0.46796395547518266,0.9871737704655794,0.9881185663896598,0.04917740010594329
Oriolus oriolus,0.3203742514752923,0.27300794978914256,0.8881960257682802,0.9371557579650065,0.04736630168614975
Anas platyrhynchos,0.09757065732243403,0.052065230726384366,0.9890502656599552,0.9792715324384789,0.04550542659604966
Dendrocoptes medius,0.04598003152916448,0.003584372243301555,0.902646750524109,0.8670335429769391,0.042395659285862926
Cinnyris reichenowi,0.4912429762178049,0.45185024296843734,0.9866679793643918,0.9903973536013863,0.03939273324936754
Psilopogon henricii,0.5238095238095237,0.48444444444444446,0.9986546458398854,0.9990914491386239,0.03936507936507927
Synallaxis albilora,0.22895760241053978,0.1896214239473311,0.9837827159011908,0.9852106371379556,0.039336178463208665
Crypturellus undulatus,0.3154796197963576,0.2765127670867007,0.9835691236609241,0.9893079290755016,0.038966852709656885
Cuculus canorus,0.6299066671446079,0.5927569598618188,0.9899528045755959,0.9915317990653935,0.0371497072827891
Psilopogon rafflesii,0.5571186920974192,0.5205968672095824,0.9971818850478092,0.9973731217820742,0.03652182488783673
Merops viridis,0.5909090909090908,0.5555555555555556,0.9996505573610092,0.9996505573610092,0.03535353535353525
Pogoniulus subsulphureus,0.4493734912341083,0.4142824998289256,0.9821173902245699,0.9884421086757054,0.03509099140518268
Hylia prasina,0.09489390179437832,0.05984850437479938,0.948974063199105,0.9847769854586129,0.03504539741957893
Rubigula cyaniventris,0.12092901391476621,0.08685556724993233,0.9439156499789652,0.95307047934866,0.034073446664833876
Hippolais polyglotta,0.26907497665737395,0.23526991359742153,0.9514968487394957,0.9772202062643239,0.03380506305995243
Hydrornis elliotii,0.08507690840265725,0.051371180368657544,0.9894260346756152,0.9894435123042506,0.0337057280339997
Harpactes kasumba,0.3915425859731295,0.3607110312199628,0.9959277125279643,0.9975356543624161,0.030831554753166734
Oriolus xanthonotus,0.16992375853900207,0.1403318999943299,0.8299848843322818,0.8469111461619349,0.029591858544672167
Psilopogon haemacephalus,0.5780497803817616,0.5485118062776212,0.9927280051805669,0.9940212644197464,0.029537974104140385
Streptopelia chinensis,0.7157205309343068,0.6862940729380749,0.9986590239798063,0.9985399292236878,0.02942645799623189
Grallaria nuchalis,0.13115584453289547,0.10321185655540283,0.8672259205949383,0.9118163008276359,0.027943987977492646
Trogon curucui,0.30356891589382795,0.27722250639386187,0.9958267799098248,0.9964559085666352,0.026346409499966084
Pica pica,0.26003174063666484,0.23478808884509128,0.8979275970619097,0.9353445260580623,0.025243651791573563
Motacilla flava,0.8887701989737754,0.8643455344548141,0.9996085211887906,0.9995867723659456,0.024424664518961303
Capsiempis flaveola,0.13379555291105336,0.11010961740631853,0.9879790026246719,0.9920086459780763,0.02368593550473483
Mixornis kelleyi,0.25216169763570984,0.2312940569351281,0.9949630174063184,0.9962084091651501,0.020867640700581724
Carduelis carduelis,0.10153607006347169,0.0826633366575797,0.9036563204061272,0.8996923960085832,0.01887273340589199
Camptostoma obsoletum,0.10570821525497429,0.08735551558752999,0.941522491349481,0.9621054839047918,0.018352699667444294
Piprites chloris,0.14285714285714285,0.125,0.9994235405093805,0.9992663242846662,0.01785714285714285
Pternistis squamatus,0.07425454207329621,0.058171327123875176,0.9720270553691275,0.979690995525727,0.016083214949421033
